postion	PMT+	PMT-
-98	0.00188068	0.0102425
-94.5	0.00210959	0.00970238
-91	0.00205059	0.00893854
-87.5	0.00211815	0.00873365
-84	0.00217614	0.00832536
-80.5	0.002289	0.00806513
-77	0.00226422	0.0078265
-73.5	0.0023457	0.00800567
-70	0.00245377	0.00764209
-66.5	0.00265112	0.00797419
-63	0.00264018	0.00759622
-59.5	0.00275694	0.00757882
-56	0.00275697	0.00720253
-52.5	0.00288118	0.00686965
-49	0.00290767	0.00665821
-45.5	0.00288002	0.00632291
-42	0.00309211	0.00654192
-38.5	0.00306048	0.00621278
-35	0.00317219	0.0059748
-31.5	0.00323132	0.00590086
-28	0.00323734	0.0056958
-24.5	0.00340732	0.00547349
-21	0.00346805	0.00541274
-17.5	0.00346807	0.00532522
-14	0.00359814	0.00507504
-10.5	0.00369514	0.00485961
-7	0.00392845	0.00498216
-3.5	0.00403217	0.00460203
0	0.00485633	0.00445361
3.5	0.0052794	0.00407552
7	0.00562175	0.00396054
10.5	0.00581558	0.00379387
14	0.0058829	0.00368587
17.5	0.00568466	0.00345566
21	0.00601976	0.00353113
24.5	0.00628093	0.00345119
28	0.00608147	0.00333199
31.5	0.00641574	0.00344395
35	0.00649363	0.00338283
38.5	0.00664964	0.00341626
42	0.00668957	0.0032938
45.5	0.00688434	0.00331728
49	0.00703077	0.00329382
52.5	0.00712056	0.00325902
56	0.00729614	0.0031615
59.5	0.0074452	0.00313847
63	0.0076974	0.00313338
66.5	0.00735587	0.00298378
70	0.00759616	0.00292395
73.5	0.00733243	0.00270145
77	0.00792525	0.0028837
80.5	0.00795417	0.0029811
84	0.00809825	0.00279846
87.5	0.00827675	0.00254712
91	0.00901056	0.00270989
94.5	0.00997799	0.00257109
98	0.0102396	0.00257292
