Y_L(cm)	E(MeV)	YTheta_L(deg)	A	dA	peL	dpeL	peR	peR
-100	3	-89	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-85	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-80	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-60	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-40	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-35	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-30	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-25	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-20	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-15	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-10	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-7.5	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-5	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	-2.5	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	0	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	2.5	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	5	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	7.5	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	10	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	15	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	20	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	25	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	30	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	35	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	40	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	60	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	80	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	85	-999	-999	0.000743192	-999	0.0077252	-999
-100	3	89	-999	-999	0.000743192	-999	0.0077252	-999
-100	5	-89	-999	-999	0.000743192	-999	0.0077252	-999
-100	5	-85	-999	-999	0.000743192	-999	0.0077252	-999
-100	5	-80	-999	-999	0.000743192	-999	0.0077252	-999
