Y_L(cm),	E(MeV),	YTheta_L(deg),	 A,	 dA,	 peL,	 dpeL,	 peR,	 dpeR
-90.00,	5.00,	-80.00,	-0.8584,	0.0017,	0.88,	0.01,	14.77,	0.06
-90.00,	5.00,	-60.00,	-0.8406,	0.0012,	1.28,	0.01,	17.42,	0.05
-90.00,	5.00,	-40.00,	-0.7784,	0.0015,	1.65,	0.01,	15.43,	0.04
-90.00,	5.00,	-35.00,	-0.7682,	0.0015,	1.73,	0.01,	15.31,	0.04
-90.00,	5.00,	-30.00,	-0.7553,	0.0016,	1.84,	0.01,	15.32,	0.04
-90.00,	5.00,	-25.00,	-0.7381,	0.0017,	1.99,	0.01,	15.31,	0.04
-90.00,	5.00,	-20.00,	-0.7159,	0.0017,	2.18,	0.01,	15.26,	0.04
-90.00,	5.00,	-15.00,	-0.6785,	0.0019,	2.44,	0.01,	15.03,	0.04
-90.00,	5.00,	-10.00,	-0.6379,	0.0020,	2.70,	0.01,	14.53,	0.04
-90.00,	5.00,	-7.50,	-0.6085,	0.0021,	2.88,	0.01,	14.20,	0.04
-90.00,	5.00,	-5.00,	-0.5752,	0.0022,	3.05,	0.01,	13.76,	0.04
-90.00,	5.00,	-2.50,	-0.5271,	0.0024,	3.26,	0.01,	13.10,	0.04
-90.00,	5.00,	0.00,	-0.4905,	0.0025,	3.42,	0.01,	12.58,	0.04
-90.00,	5.00,	2.50,	-0.4455,	0.0027,	3.59,	0.01,	11.99,	0.04
-90.00,	5.00,	5.00,	-0.3921,	0.0028,	3.78,	0.01,	11.19,	0.04
-90.00,	5.00,	7.50,	-0.3513,	0.0029,	3.90,	0.02,	10.66,	0.04
-90.00,	5.00,	10.00,	-0.2955,	0.0030,	4.08,	0.02,	9.90,	0.04
-90.00,	5.00,	15.00,	-0.2069,	0.0031,	4.26,	0.02,	8.63,	0.04
-90.00,	5.00,	20.00,	-0.1190,	0.0033,	4.44,	0.02,	7.59,	0.03
-90.00,	5.00,	25.00,	-0.0483,	0.0033,	4.51,	0.02,	6.67,	0.03
-90.00,	5.00,	30.00,	0.0176,	0.0034,	4.58,	0.02,	5.91,	0.03
-90.00,	5.00,	35.00,	0.0741,	0.0034,	4.62,	0.02,	5.28,	0.03
-90.00,	5.00,	40.00,	0.1328,	0.0034,	4.72,	0.02,	4.77,	0.03
-90.00,	5.00,	60.00,	0.3556,	0.0033,	5.09,	0.02,	3.14,	0.02
-90.00,	5.00,	80.00,	0.4189,	0.0042,	4.07,	0.02,	2.11,	0.02
-90.00,	10.00,	-80.00,	-0.9097,	0.0009,	1.87,	0.01,	48.63,	0.16
-90.00,	10.00,	-60.00,	-0.8702,	0.0008,	2.54,	0.01,	42.22,	0.10
-90.00,	10.00,	-40.00,	-0.8414,	0.0010,	2.36,	0.01,	30.54,	0.08
-90.00,	10.00,	-35.00,	-0.8404,	0.0010,	2.31,	0.01,	29.31,	0.07
-90.00,	10.00,	-30.00,	-0.8394,	0.0010,	2.31,	0.01,	28.86,	0.07
-90.00,	10.00,	-25.00,	-0.8328,	0.0011,	2.40,	0.01,	28.68,	0.06
-90.00,	10.00,	-20.00,	-0.8205,	0.0012,	2.59,	0.02,	28.72,	0.06
-90.00,	10.00,	-15.00,	-0.7885,	0.0013,	2.98,	0.02,	28.17,	0.06
-90.00,	10.00,	-10.00,	-0.7344,	0.0016,	3.61,	0.02,	27.00,	0.06
-90.00,	10.00,	-7.50,	-0.6955,	0.0017,	4.05,	0.02,	26.15,	0.06
-90.00,	10.00,	-5.00,	-0.6490,	0.0018,	4.50,	0.02,	24.96,	0.06
-90.00,	10.00,	-2.50,	-0.5942,	0.0020,	5.01,	0.02,	23.70,	0.06
-90.00,	10.00,	0.00,	-0.5265,	0.0022,	5.52,	0.02,	21.90,	0.06
-90.00,	10.00,	2.50,	-0.4602,	0.0024,	5.99,	0.02,	20.32,	0.06
-90.00,	10.00,	5.00,	-0.3716,	0.0026,	6.45,	0.02,	18.27,	0.06
-90.00,	10.00,	7.50,	-0.2893,	0.0028,	6.82,	0.02,	16.35,	0.06
-90.00,	10.00,	10.00,	-0.2019,	0.0029,	7.18,	0.02,	14.47,	0.06
-90.00,	10.00,	15.00,	-0.0419,	0.0031,	7.81,	0.02,	11.47,	0.05
-90.00,	10.00,	20.00,	0.0705,	0.0031,	8.16,	0.02,	9.50,	0.05
-90.00,	10.00,	25.00,	0.1664,	0.0031,	8.44,	0.02,	8.04,	0.04
-90.00,	10.00,	30.00,	0.2338,	0.0030,	8.66,	0.02,	6.99,	0.04
-90.00,	10.00,	35.00,	0.2916,	0.0030,	9.08,	0.03,	6.31,	0.04
-90.00,	10.00,	40.00,	0.3323,	0.0029,	9.49,	0.03,	5.84,	0.04
-90.00,	10.00,	60.00,	0.4825,	0.0025,	12.40,	0.03,	4.93,	0.03
-90.00,	10.00,	80.00,	0.5891,	0.0026,	11.61,	0.04,	3.43,	0.03
-90.00,	50.00,	-80.00,	-0.9403,	0.0002,	9.66,	0.03,	352.13,	1.02
-90.00,	50.00,	-60.00,	-0.8503,	0.0006,	3.86,	0.02,	58.45,	0.29
-90.00,	50.00,	-40.00,	-0.8388,	0.0008,	1.61,	0.01,	18.79,	0.06
-90.00,	50.00,	-35.00,	-0.8827,	0.0007,	1.19,	0.01,	19.09,	0.05
-90.00,	50.00,	-30.00,	-0.9292,	0.0006,	0.84,	0.01,	22.30,	0.05
-90.00,	50.00,	-25.00,	-0.9624,	0.0004,	0.58,	0.01,	28.87,	0.06
-90.00,	50.00,	-20.00,	-0.9744,	0.0003,	0.48,	0.01,	33.91,	0.05
-90.00,	50.00,	-15.00,	-0.9732,	0.0004,	0.52,	0.01,	34.45,	0.05
-90.00,	50.00,	-10.00,	-0.9497,	0.0005,	0.95,	0.01,	34.28,	0.04
-90.00,	50.00,	-7.50,	-0.9099,	0.0006,	1.70,	0.01,	34.35,	0.04
-90.00,	50.00,	-5.00,	-0.8285,	0.0008,	3.30,	0.02,	34.35,	0.04
-90.00,	50.00,	-2.50,	-0.7298,	0.0009,	5.21,	0.02,	33.57,	0.05
-90.00,	50.00,	0.00,	-0.6477,	0.0010,	6.44,	0.02,	31.11,	0.05
-90.00,	50.00,	2.50,	-0.5514,	0.0013,	7.21,	0.02,	26.97,	0.05
-90.00,	50.00,	5.00,	-0.3582,	0.0019,	7.71,	0.02,	19.40,	0.06
-90.00,	50.00,	7.50,	-0.0325,	0.0025,	8.12,	0.02,	11.33,	0.05
-90.00,	50.00,	10.00,	0.2843,	0.0026,	8.54,	0.02,	6.28,	0.04
-90.00,	50.00,	15.00,	0.5833,	0.0021,	9.04,	0.02,	2.99,	0.02
-90.00,	50.00,	20.00,	0.6276,	0.0019,	8.73,	0.02,	2.43,	0.02
-90.00,	50.00,	25.00,	0.6726,	0.0019,	7.69,	0.02,	1.96,	0.02
-90.00,	50.00,	30.00,	0.7363,	0.0020,	6.39,	0.02,	1.44,	0.02
